Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
0813100,"Meal, Soybean",NS,Suriname,1986,2006,06,057,Imports,08,(1000 MT),4.0000
0813100,"Meal, Soybean",NS,Suriname,1986,2006,06,140,Industrial Dom. Cons.,08,(1000 MT),0.0000
0813100,"Meal, Soybean",NS,Suriname,1986,2006,06,028,Production,08,(1000 MT),0.0000
0813100,"Meal, Soybean",NS,Suriname,1986,2006,06,194,SME,08,(1000 MT),4.0000
0813100,"Meal, Soybean",NS,Suriname,1986,2006,06,178,Total Distribution,08,(1000 MT),4.0000
0813100,"Meal, Soybean",NS,Suriname,1986,2006,06,086,Total Supply,08,(1000 MT),4.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,004,Area Harvested,04,(1000 HA),26.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,020,Beginning Stocks,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,125,Domestic Consumption,08,(1000 MT),26.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,176,Ending Stocks,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,088,Exports,08,(1000 MT),19.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,057,Imports,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,182,Milling Rate (.9999),08,(1000 MT),6300.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,028,Production,08,(1000 MT),45.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,054,Rough Production,08,(1000 MT),72.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,178,Total Distribution,08,(1000 MT),45.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,086,Total Supply,08,(1000 MT),45.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,113,TY Exports,08,(1000 MT),19.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,084,TY Imp. from U.S.,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,081,TY Imports,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1960,2006,07,184,Yield,26,(MT/HA),2.7700
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,004,Area Harvested,04,(1000 HA),26.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,020,Beginning Stocks,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,125,Domestic Consumption,08,(1000 MT),24.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,176,Ending Stocks,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,088,Exports,08,(1000 MT),21.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,057,Imports,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,182,Milling Rate (.9999),08,(1000 MT),6300.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,028,Production,08,(1000 MT),45.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,054,Rough Production,08,(1000 MT),72.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,178,Total Distribution,08,(1000 MT),45.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,086,Total Supply,08,(1000 MT),45.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,113,TY Exports,08,(1000 MT),21.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,084,TY Imp. from U.S.,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,081,TY Imports,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1961,2006,07,184,Yield,26,(MT/HA),2.7700
